"x","n_extensions","Closest variant","Mixed"
"Capacitated General Routing Problem","0","Capacitated Arc Routing Problem","0"
"Bi-objective Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Bi-objective Mixed Capacitated General Routing Problem","2","Mixed Capacitated General Routing Problem","1"
"Bi-objective Mixed Capacitated General Routing Problem","","Bi-objective Capacitated General Routing Problem","0"
"Capacitated Arc Routing Problem","0","Capacitated General Routing Problem","0"
"Capacitated Arc Routing Problem Review","0","",""
"Capacitated Arc Routing Problem with Deadheading Demand","1","Capacitated Arc Routing Problem","0"
"Capacitated Arc Routing Problem with Decay","1","Capacitated Arc Routing Problem","0"
"Capacitated Arc Routing Problem with Greenhouse Gas Cost","1","Capacitated Arc Routing Problem","0"
"Capacitated Arc Routing Problem with Intermediate Facilities","1","Capacitated Arc Routing Problem","0"
"Capacitated Arc Routing Problem with Profits","1","Capacitated Arc Routing Problem","0"
"Capacitated Arc Routing Problem with Refill Points","1","Capacitated Arc Routing Problem","0"
"Capacitated Arc Routing Problem with Refill Points and Multiple-Loads","2","Capacitated Arc Routing Problem with Refill Points","0"
"Capacitated Arc Routing Problem with Refill Points and Multiple-Loads","","Capacitated Arc Routing Problem with Multiple-Loads","0"
"Capacitated Arc Routing Problem with Soft Time-Windows","1","Capacitated Arc Routing Problem","0"
"Capacitated Arc Routing Problem with Stochastic Demand","1","Capacitated Arc Routing Problem","0"
"Capacitated Arc Routing Problem with Stochastic Demand and Travel Cost","2","Capacitated Arc Routing Problem with Stochastic Demand","0"
"Capacitated Arc Routing Problem with Stochastic Demand and Travel Cost","","Capacitated Arc Routing Problem with Stochastic Travel Costs","0"
"Capacitated Arc Routing Problem with Stochastic Travel Cost","1","Capacitated Arc Routing Problem","0"
"Capacitated Arc Routing Problem with Time-Dependent Travel Cost","1","Capacitated Arc Routing Problem","0"
"Capacitated Arc Routing Problem with Time-Windows","1","Capacitated Arc Routing Problem","0"
"Capacitated Arc Routing Problem with Vehicle-to-Site Dependencies","1","Capacitated Arc Routing Problem","0"
"Directed Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Dual Demand Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Dynamic Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Dynamic Capacitated Arc Routing Problem with Time-Dependent Travel Cost","2","Dynamic Capacitated Arc Routing Problem","0"
"Dynamic Capacitated Arc Routing Problem with Time-Dependent Travel Cost","","Capacitated Arc Routing Problem with Time-Dependent Travel Costs","0"
"Heterogeneous Capacitated Arc Routing Problem with Intermediate Facilities","2","Heterogeneous Capacitated Arc Routing Problem","0"
"Heterogeneous Capacitated Arc Routing Problem with Intermediate Facilities","","Capacitated Arc Routing Problem with Intermediate Facilities","0"
"Heterogeneous Periodic Mixed Capacitated Arc Routing Problem with Stochastic Demand","4","Periodic Mixed Capacitated Arc Routing Problem","1"
"Heterogeneous Periodic Mixed Capacitated Arc Routing Problem with Stochastic Demand","","Mixed Capacitated Arc Routing Problem with Stochastic Demand","1"
"Heterogeneous Periodic Mixed Capacitated Arc Routing Problem with Stochastic Demand","","Heterogeneous Mixed Capacitated Arc Routing Problem","1"
"Location Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Location Capacitated Arc Routing Problem with Inventory Constraints","2","Capacitated Arc Routing Problem with Inventory Constraints","0"
"Location Capacitated Arc Routing Problem with Inventory Constraints","","Location Capacitated Arc Routing Problem","0"
"Mixed Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Mixed Capacitated Arc Routing Problem","","Mixed Capacitated General Routing Problem","1"
"Mixed Capacitated Arc Routing Problem with Intermediate Facilities","2","Capacitated Arc Routing Problem with Intermediate Facilities","0"
"Mixed Capacitated Arc Routing Problem with Intermediate Facilities","","Mixed Capacitated Arc Routing Problem","1"
"Mixed Capacitated Arc Routing Problem with non-overlapping Routes","2","Mixed Capacitated Arc Routing Problem","1"
"Mixed Capacitated Arc Routing Problem with non-overlapping Routes","","Capacitated Arc Routing Problem with non-overlapping Routes","0"
"Mixed Capacitated General Routing Problem","1","Capacitated General Routing Problem","0"
"Mixed Capacitated General Routing Problem with Stochastic Demand","2","Mixed Capacitated General Routing Problem","1"
"Mixed Capacitated General Routing Problem with Stochastic Demand","","Capacitated General Routing Problem with Stochastic Demand","0"
"Mixed Capacitated General Routing Problem with Turn Penalties","2","Mixed Capacitated General Routing Problem","1"
"Mixed Capacitated General Routing Problem with Turn Penalties","","Capacitated General Routing Problem with Turn Penalties","0"
"Capacitated Arc Routing Problem with Time-Windows","1","Capacitated Arc Routing Problem","0"
"Periodic Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Multi-Compartment Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Multi-Compartment Capacitated Arc Routing Problem with Intermediate Facilities","2","Multi-Compartment Capacitated Arc Routing Problem","0"
"Multi-Compartment Capacitated Arc Routing Problem with Intermediate Facilities","","Capacitated Arc Routing Problem with Intermediate Facilities","0"
"Multi-Depot Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Multi-Depot Heterogeneous Capacitated Arc Routing Problem","2","Heterogeneous Capacitated Arc Routing Problem","0"
"Multi-Depot Heterogeneous Capacitated Arc Routing Problem","","Multi-Depot Capacitated Arc Routing Problem","0"
"Multi-Depot Mixed Capacitated Arc Routing Problem","2","Mixed Capacitated Arc Routing Problem","1"
"Multi-Depot Mixed Capacitated Arc Routing Problem","","Multi-Depot Capacitated Arc Routing Problem","0"
"Open Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Periodic Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Periodic Capacitated Arc Routing Problem with Inventory Constraints","2","Capacitated Arc Routing Problem with Inventory Constraints","0"
"Periodic Capacitated Arc Routing Problem with Inventory Constraints","","Periodic Capacitated Arc Routing Problem","0"
"Periodic Capacitated Arc Routing Problem with Irregular Services","2","Periodic Capacitated Arc Routing Problem","0"
"Profitable Mixed Capacitated Arc Routing Problem","2","Mixed Capacitated Arc Routing Problem","1"
"Profitable Mixed Capacitated Arc Routing Problem","","Profitable Capacitated Arc Routing Problem","0"
"Sectoring Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Sectoring Mixed Capacitated Arc Routing Problem with Intermediate Facilities","3","Sectoring Mixed Capacitated Arc Routing Problem","1"
"Sectoring Mixed Capacitated Arc Routing Problem with Intermediate Facilities","","Mixed Capacitated Arc Routing Problem with Intermediate Facilities","1"
"Semi-periodic Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Multi-compartment Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Periodic Multi-compartment Capacitated Arc Routing Problem","2","Periodic Capacitated Arc Routing Problem","0"
"Periodic Multi-compartment Capacitated Arc Routing Problem","","Multi-compartment Capacitated Arc Routing Problem","0"
"Split-Delivery Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Time Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"
"Variable Fleet size and Depot Location Mixed Capacitated Arc Routing Problem","3","Variable Fleet size Mixed Capacitated Arc Routing Problem","1"
"Variable Fleet size and Depot Location Mixed Capacitated Arc Routing Problem","","Variable Depot Location Mixed Capacitated Arc Routing Problem","1"
"Windy Capacitated Arc Routing Problem","1","Capacitated Arc Routing Problem","0"