,key,cited,X,author,year,title,journal,dwn_.,Downloaded,Benchmarks_origins,Benchmarks_used,Solution_tech,Version,exact,heuristic,EA,sol_tech
20,"ARCHETTI C, 2017, EUR J OPER RES","BACH L, 2013, COMPUT OPER RES;BELENGUER JM, 2003, COMPUT OPER RES;BERALDI P, 2015, EUR J OPER RES;BOSCO A, 2014, NETWORKS;BOSCO A, 2013, OPTIM LETT;IRNICH S, 2015, EUR J OPER RES","ARCHETTI C, 2017, EUR J OPER RES",ARCHETTI C;BERTAZZI L;LAGANA D;VOCATURO F,2017,THE UNDIRECTED CAPACITATED GENERAL ROUTING PROBLEM WITH PROFITS,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,8,1,gdb;val,p-ggdb;p-gval,exact,,True,False,False,exact
21,"ZHANG Y, 2017, APPL SOFT COMPUT","BEULLENS P, 2003, EUR J OPER RES;BRANDAO J, 2008, COMPUT OPER RES;CHU F, 2005, J INTELL MANUF;CHU F, 2005, EUR J OPER RES;CORBERAN A, 2010, NETWORKS;HERTZ A, 2000, OPER RES;LACOMME P, 2006, COMPUT OPER RES;LACOMME P, 2005, EUR J OPER RES;LACOMME P, 2004, ANN OPER RES;LONGO H, 2006, COMPUT OPER RES;POLACEK M, 2008, J HEURISTICS;RIQUELME-RODRIGUEZ JP, 2014, J OPER RES SOC;DOERNER KF, 2004, ANT COLONY OPTIMIZATION AND SWARM INTELLIGENCE, PROCEEDINGS;HERTZ A, 2001, TRANSP SCI;MEI Y, 2014, IEEE TRANS EVOL COMPUT;MEI Y, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;MEI Y, 2009, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2009, 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5;MEI Y, 2009, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2009, 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5;MONROY IM, 2013, DISCRET APPL MATH;TANG K, 2009, IEEE TRANS EVOL COMPUT","ZHANG Y, 2017, APPL SOFT COMPUT",ZHANG Y;MEI Y;TANG K;JIANG K,2017,MEMETIC ALGORITHM WITH ROUTE DECOMPOSING FOR PERIODIC CAPACITATED ARC ROUTING PROBLEM,APPLIED SOFT COMPUTING,179,1,gdb;val;egl-l,gdb;val;egl-l,EA,,False,False,True,EA
22,"PORUMBEL D, 2017, EUR J OPER RES","BALDACCI R, 2006, NETWORKS;BARTOLINI E, 2013, MATH PROGRAM;BELENGUER JM, 2003, COMPUT OPER RES;BEULLENS P, 2003, EUR J OPER RES;BODE C, 2012, OPER RES;BRANDAO J, 2008, COMPUT OPER RES;GREISTORFER P, 2003, COMPUT IND ENG;HERTZ A, 2000, OPER RES;LACOMME P, 2004, ANN OPER RES;LETCHFORD AN, 2009, COMPUT OPER RES;LONGO H, 2006, COMPUT OPER RES;MARTINELLI R, 2013, COMPUT OPER RES;POLACEK M, 2008, J HEURISTICS;PORUMBEL D, 2016, MATH PROGRAM;HERTZ A, 2001, TRANSP SCI;LACOMME P, 2001, APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS;LACOMME P, 2001, SIMULATION IN INDUSTRY 2001;MARTINELLI R, 2011, EXPERIMENTAL ALGORITHMS;MEI Y, 2009, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2009, 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5;PRINS C, 2014, ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS;TANG K, 2009, IEEE TRANS EVOL COMPUT","PORUMBEL D, 2017, EUR J OPER RES",PORUMBEL D;GONCALVES G;ALLAOUI H;HSU T,2017,ITERATED LOCAL SEARCH AND COLUMN GENERATION TO SOLVE ARC-ROUTING AS A PERMUTATION SET-COVERING PROBLEM,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,123,1,gdb;val;egl;bmcv;egl-g,gdb;val;egl;bmcv;egl-g,LS,,False,True,False,heuristic
23,"YAO T, 2017, 2017 IEEE 20TH INTERNATIONAL CONFERENCE ON INTELLIGENT TRANSPORTATION SYSTEMS (ITSC)","LACOMME P, 2004, ANN OPER RES;TANG K, 2009, IEEE TRANS EVOL COMPUT","YAO T, 2017, 2017 IEEE 20TH INTERNATIONAL CONFERENCE ON INTELLIGENT TRANSPORTATION SYSTEMS (ITSC)",YAO T;YAO X;HAN S;WANG Y;CAO D;WANG F,2017,MEMETIC ALGORITHM WITH ADAPTIVE LOCAL SEARCH FOR CAPACITATED ARC ROUTING PROBLEM,2017 IEEE 20TH INTERNATIONAL CONFERENCE ON INTELLIGENT TRANSPORTATION SYSTEMS (ITSC),173,1,egl-l,egl-l,EA,,False,False,True,EA
24,"SOLID K, 2017, PROCEEDINGS OF 2017 INTERNATIONAL CONFERENCE ON INDUSTRIAL DESIGN ENGINEERING (ICIDE 2017)","RIQUELME-RODRIGUEZ JP, 2014, J OPER RES SOC","SOLID K, 2017, PROCEEDINGS OF 2017 INTERNATIONAL CONFERENCE ON INDUSTRIAL DESIGN ENGINEERING (ICIDE 2017)",SOLID K;KOMARUDIN K,2017,WATER TRUCK ROUTING AND SCHEDULING OPTIMIZATION IN MINING OPERATIONS WITH INVENTORY FUNCTION BASED ON MIXED INTEGER LINEAR PROGRAMMING,PROCEEDINGS OF 2017 INTERNATIONAL CONFERENCE ON INDUSTRIAL DESIGN ENGINEERING (ICIDE 2017),143,1,real,real,exact,,True,False,False,exact
25,"SHANG R, 2016, APPL SOFT COMPUT","BALDACCI R, 2006, NETWORKS;BELENGUER JM, 2003, COMPUT OPER RES;BEULLENS P, 2003, EUR J OPER RES;BRANDAO J, 2008, COMPUT OPER RES;GRANDINETTI L, 2012, COMPUT OPER RES;HERTZ A, 2000, OPER RES;LACOMME P, 2006, COMPUT OPER RES;LACOMME P, 2004, ANN OPER RES;LONGO H, 2006, COMPUT OPER RES;MANDAL SK, 2015, J HEURISTICS;FENG L, 2015, IEEE TRANS EVOL COMPUT;GRANDINETTI L, 2010, EXPERIMENTAL ALGORITHMS, PROCEEDINGS;MEI Y, 2014, IEEE TRANS EVOL COMPUT;MEI Y, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;TANG K, 2009, IEEE TRANS EVOL COMPUT","SHANG R, 2016, APPL SOFT COMPUT",SHANG R;DU B;MA H;JIAO L;XUE Y;STOLKIN R,2016,IMMUNE CLONAL ALGORITHM BASED ON DIRECTED EVOLUTION FOR MULTI-OBJECTIVE CAPACITATED ARC ROUTING PROBLEM,APPLIED SOFT COMPUTING,135,1,gdb;kshs;bmcv;egl,gdb;kshs;bmcv;egl,EA,,False,False,True,EA
26,"RIQUELME-RODRIGUEZ JP, 2016, COMPUT OPER RES","AMAYA A, 2007, OPER RES LETT;CHU F, 2005, J INTELL MANUF;CHU F, 2005, EUR J OPER RES;LACOMME P, 2005, EUR J OPER RES;LOPES RB, 2014, COMPUT OPER RES;RIQUELME-RODRIGUEZ JP, 2014, J OPER RES SOC;RIQUELME-RODRIGUEZ JP, 2014, NETWORKS;MONROY IM, 2013, DISCRET APPL MATH","RIQUELME-RODRIGUEZ JP, 2016, COMPUT OPER RES",RIQUELME RODRIGUEZ JP;GAMACHE M;LANGEVIN A,2016,LOCATION ARC ROUTING PROBLEM WITH INVENTORY CONSTRAINTS,COMPUTERS \& OPERATIONS RESEARCH,128,1,mine,mine,adaptive-large-neighbourhood-search,,False,True,False,heuristic
27,"CORTINHAL MJ, 2016, EUR J OPER RES","BELENGUER JM, 2006, COMPUT OPER RES;CONSTANTINO M, 2015, EUR J OPER RES;CORBERAN A, 2010, NETWORKS;GOUVEIA L, 2010, COMPUT OPER RES;LACOMME P, 2004, ANN OPER RES;MOURAO MC, 2009, EUR J OPER RES;MUYLDERMANS L, 2003, J OPER RES SOC;LACOMME P, 2001, APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS;LACOMME P, 2001, SIMULATION IN INDUSTRY 2001","CORTINHAL MJ, 2016, EUR J OPER RES",CORTINHAL MJ;MOURAO MC;NUNES AC,2016,LOCAL SEARCH HEURISTICS FOR SECTORING ROUTING IN A HOUSEHOLD WASTE COLLECTION CONTEXT,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,44,1,lpr;seix,slpr;seix,TS;hill-climbing,,False,True,False,heuristic
28,"DELL'AMICO M, 2016, TRANSP SCI","BACH L, 2013, COMPUT OPER RES;BEULLENS P, 2003, EUR J OPER RES;BOSCO A, 2014, NETWORKS;BOSCO A, 2013, OPTIM LETT;BRANDAO J, 2008, COMPUT OPER RES;CORBERAN A, 2010, NETWORKS;IRNICH S, 2015, EUR J OPER RES;LACOMME P, 2004, ANN OPER RES;MANDAL SK, 2015, J HEURISTICS;POLACEK M, 2008, J HEURISTICS;WOHLK S, 2006, COMPUT OPER RES;LACOMME P, 2004, ANN OPER RES;MARTINELLI R, 2011, EXPERIMENTAL ALGORITHMS;PRINS C, 2014, ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS;SANTOS L, 2010, TRANSP RES PT B-METHODOL","DELL'AMICO M, 2016, TRANSP SCI",DELL AMICO M;DIAZ JCD;HASLE G;IORI M,2016,AN ADAPTIVE ITERATED LOCAL SEARCH FOR THE MIXED CAPACITATED GENERAL ROUTING PROBLEM,TRANSPORTATION SCIENCE,46,1,CBMix;gdb;val;egl;DI-NEARP,CBMix;BHW;DI-NEARP,iterative-local-search,,False,True,False,heuristic
29,"BACH L, 2016, NETWORKS","BACH L, 2013, COMPUT OPER RES;BARTOLINI E, 2013, MATH PROGRAM;BELENGUER JM, 2003, COMPUT OPER RES;BODE C, 2014, EUR J OPER RES;BODE C, 2012, OPER RES;BOSCO A, 2014, NETWORKS;BOSCO A, 2013, OPTIM LETT;IRNICH S, 2015, EUR J OPER RES;LETCHFORD AN, 2009, COMPUT OPER RES;LONGO H, 2006, COMPUT OPER RES;BODE C, 2015, TRANSP SCI","BACH L, 2016, NETWORKS",BACH L;LYSGAARD J;WOHLK S,2016,A BRANCH-AND-CUT-AND-PRICE ALGORITHM FOR THE MIXED CAPACITATED GENERAL ROUTING PROBLEM,NETWORKS,10,1,CBMix;gdb;val;egl;,CBMix;mgval;mggdb;BHW,exact,,True,False,False,exact
30,"CONSOLI PA, 2016, SOFT COMPUT","BEULLENS P, 2003, EUR J OPER RES;BRANDAO J, 2008, COMPUT OPER RES;MARTINELLI R, 2013, COMPUT OPER RES;MEI Y, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);CONSOLI PA, 2014, SIMULATED EVOLUTION AND LEARNING (SEAL 2014);MEI Y, 2014, IEEE TRANS EVOL COMPUT;MEI Y, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);TANG K, 2009, IEEE TRANS EVOL COMPUT","CONSOLI PA, 2016, SOFT COMPUT",CONSOLI PA;MEI Y;MINKU LL;YAO X,2016,DYNAMIC SELECTION OF EVOLUTIONARY OPERATORS BASED ON ONLINE LEARNING AND FITNESS LANDSCAPE ANALYSIS,SOFT COMPUTING,41,1,egl;bmcv;egl-g,egl;bmcv;egl-g,EA,,False,False,True,EA
31,"WILLEMSE EJ, 2016, OPER RES LETT","BELENGUER JM, 2006, COMPUT OPER RES;CORBERAN A, 2010, NETWORKS;GHIANI G, 2001, NETWORKS;LACOMME P, 2004, ANN OPER RES;WILLEMSE EJ, 2016, COMPUT OPER RES;PRINS C, 2014, ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS;TANG K, 2009, IEEE TRANS EVOL COMPUT","WILLEMSE EJ, 2016, OPER RES LETT",WILLEMSE EJ;JOUBERT JW,2016,SPLITTING PROCEDURES FOR THE MIXED CAPACITATED ARC ROUTING PROBLEM UNDER TIME RESTRICTIONS WITH INTERMEDIATE FACILITIES,OPERATIONS RESEARCH LETTERS,166,1,cen-if;lpr,cen-IF;lpr-IF,heuristic,,False,True,False,heuristic
32,"CHEN Y, 2016, EUR J OPER RES","BALDACCI R, 2006, NETWORKS;BARTOLINI E, 2013, MATH PROGRAM;BEULLENS P, 2003, EUR J OPER RES;BODE C, 2012, OPER RES;BRANDAO J, 2008, COMPUT OPER RES;HERTZ A, 2000, OPER RES;LACOMME P, 2004, ANN OPER RES;MARTINELLI R, 2013, COMPUT OPER RES;POLACEK M, 2008, J HEURISTICS;USBERTI FL, 2013, COMPUT OPER RES;HERTZ A, 2001, TRANSP SCI;MEI Y, 2014, IEEE TRANS EVOL COMPUT;MEI Y, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);MEI Y, 2009, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2009, 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5;SANTOS L, 2010, TRANSP RES PT B-METHODOL;TANG K, 2009, IEEE TRANS EVOL COMPUT","CHEN Y, 2016, EUR J OPER RES",CHEN Y;HAO JK;GLOVER F,2016,A HYBRID METAHEURISTIC APPROACH FOR THE CAPACITATED ARC ROUTING PROBLEM,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,33,1,gdb;val;egl;bmcv;egl-g,gdb;val;egl;bmcv;egl-g,EA,,False,False,True,EA
33,"VECCHI TPB, 2016, PROCESS SAF ENVIRON PROTECT","BEULLENS P, 2003, EUR J OPER RES;CORBERAN A, 2010, NETWORKS;HERTZ A, 2000, OPER RES;LONGO H, 2006, COMPUT OPER RES;MOURAO MC, 2005, EUR J OPER RES;USBERTI FL, 2011, COMPUT OPER RES;BELENGUER JM, 2010, TRANSP SCI;LAPORTE G, 2010, TRANSP SCI;LACOMME P, 2001, APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS;LACOMME P, 2001, SIMULATION IN INDUSTRY 2001","VECCHI TPB, 2016, PROCESS SAF ENVIRON PROTECT",VECCHI TPB;SURCO DF;CONSTANTINO AA;STEINER MTA;JORGE LMM;RAVAGNANI MASS;PARAISO PR,2016,A SEQUENTIAL APPROACH FOR THE OPTIMIZATION OF TRUCK ROUTES FOR SOLID WASTE COLLECTION,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,158,1,real,real,heuristic,,False,True,False,heuristic
34,"HALVORSEN-WEARE EE, 2016, EUR J OPER RES","BACH L, 2013, COMPUT OPER RES;BERALDI P, 2015, EUR J OPER RES;BOSCO A, 2013, OPTIM LETT;GRANDINETTI L, 2012, COMPUT OPER RES;LACOMME P, 2006, COMPUT OPER RES;MANDAL SK, 2015, J HEURISTICS;LACOMME P, 2003, EVOLUTIONARY MULTI-CRITERION OPTIMIZATION, PROCEEDINGS;MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT","HALVORSEN-WEARE EE, 2016, EUR J OPER RES",HALVORSEN WEARE EE;SAVELSBERGH MWP,2016,THE BI-OBJECTIVE MIXED CAPACITATED GENERAL ROUTING PROBLEM WITH DIFFERENT ROUTE BALANCE CRITERIA,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,68,1,gdb,mggdb,exact,,True,False,False,exact
35,"SHANG R, 2016, SOFT COMPUT","BALDACCI R, 2006, NETWORKS;BELENGUER JM, 2003, COMPUT OPER RES;BEULLENS P, 2003, EUR J OPER RES;BRANDAO J, 2008, COMPUT OPER RES;GREISTORFER P, 2003, COMPUT IND ENG;HERTZ A, 2000, OPER RES;LACOMME P, 2006, COMPUT OPER RES;LACOMME P, 2004, ANN OPER RES;LONGO H, 2006, COMPUT OPER RES;SANTOS L, 2009, COMPUT OPER RES;USBERTI FL, 2013, COMPUT OPER RES;HERTZ A, 2001, TRANSP SCI;MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;MEI Y, 2009, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2009, 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5;MEI Y, 2009, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2009, 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5;TANG K, 2009, IEEE TRANS EVOL COMPUT","SHANG R, 2016, SOFT COMPUT",SHANG R;MA H;WANG J;JIAO L;STOLKIN R,2016,IMMUNE CLONAL SELECTION ALGORITHM FOR CAPACITATED ARC ROUTING PROBLEM,SOFT COMPUTING,137,1,gdb;egl;val,gdb;egl;val,EA,,False,False,True,EA
36,"SHANG R, 2016, IEEE T CYBERN","BEULLENS P, 2003, EUR J OPER RES;BRANDAO J, 2008, COMPUT OPER RES;LACOMME P, 2006, COMPUT OPER RES;MARTINELLI R, 2013, COMPUT OPER RES;MEI Y, 2013, 2013 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);FENG L, 2015, IEEE TRANS EVOL COMPUT;MEI Y, 2014, IEEE TRANS EVOL COMPUT;MEI Y, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;XING LN, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;MEI Y, 2009, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2009, 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5;REGHIOUI M, 2007, APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS;TANG K, 2009, IEEE TRANS EVOL COMPUT","SHANG R, 2016, IEEE T CYBERN",SHANG R;DAI K;JIAO L;STOLKIN R,2016,IMPROVED MEMETIC ALGORITHM BASED ON ROUTE DISTANCE GROUPING FOR MULTIOBJECTIVE LARGE SCALE CAPACITATED ARC ROUTING PROBLEMS,IEEE TRANSACTIONS ON CYBERNETICS,136,1,gdb;val;egl;egl-g;bmcv,gdb;val;egl;egl-g;bmcv,EA,,False,False,True,EA
37,"WILLEMSE EJ, 2016, COMPUT OPER RES","BARTOLINI E, 2013, MATH PROGRAM;BAUTISTA J, 2008, COMPUT OPER RES;BELENGUER JM, 2006, COMPUT OPER RES;BELENGUER JM, 2003, COMPUT OPER RES;BODE C, 2012, OPER RES;BRANDAO J, 2008, COMPUT OPER RES;CHU F, 2005, EUR J OPER RES;CONSTANTINO M, 2015, EUR J OPER RES;CORBERAN A, 2010, NETWORKS;DOULABI SHH, 2013, EUR J OPER RES;GHIANI G, 2001, NETWORKS;GHIANI G, 2010, J HEURISTICS;GOUVEIA L, 2010, COMPUT OPER RES;GRANDINETTI L, 2012, COMPUT OPER RES;LACOMME P, 2004, ANN OPER RES;MARTINELLI R, 2013, COMPUT OPER RES;MOURAO MC, 2009, EUR J OPER RES;MOURAO MC, 2005, EUR J OPER RES;MUYLDERMANS L, 2010, COMPUT OPER RES;POLACEK M, 2008, J HEURISTICS;SANTOS L, 2009, COMPUT OPER RES;USBERTI FL, 2013, COMPUT OPER RES;MEI Y, 2014, IEEE TRANS EVOL COMPUT;MEI Y, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)","WILLEMSE EJ, 2016, COMPUT OPER RES",WILLEMSE EJ;JOUBERT JW,2016,CONSTRUCTIVE HEURISTICS FOR THE MIXED CAPACITY ARC ROUTING PROBLEM UNDER TIME RESTRICTIONS WITH INTERMEDIATE FACILITIES,COMPUTERS \& OPERATIONS RESEARCH,164,1,cen-IF;act-IF;mval;gdb;val;lpr,cen-IF;act-IF;lpr-IF;mval-IF-3L;bccm-IF-3L;gdb-IF-3L;bccm-IF;gdb-IF,heuristic,,False,True,False,heuristic
38,"WANG J, 2016, IEEE TRANS EVOL COMPUT","BALDACCI R, 2006, NETWORKS;BEULLENS P, 2003, EUR J OPER RES;CHRISTIANSEN CH, 2009, OPER RES LETT;FLEURY G, 2005, J OPER RES SOC;LACOMME P, 2006, COMPUT OPER RES;LACOMME P, 2004, ANN OPER RES;LONGO H, 2006, COMPUT OPER RES;WANG J, 2013, 2013 IEEE WORKSHOP ON MEMETIC COMPUTING (MC);FLEURY G, 2004, APPLICATIONS OF EVOLUTIONARY COMPUTING;MEI Y, 2014, IEEE TRANS EVOL COMPUT;MEI Y, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;PRINS C, 2014, ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS;REGHIOUI M, 2007, APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS;TANG K, 2009, IEEE TRANS EVOL COMPUT","WANG J, 2016, IEEE TRANS EVOL COMPUT",WANG J;TANG K;LOZANO JA;YAO X,2016,ESTIMATION OF THE DISTRIBUTION ALGORITHM WITH A STOCHASTIC LOCAL SEARCH FOR UNCERTAIN CAPACITATED ARC ROUTING PROBLEMS,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,161,1,gdb;val,ugdb;uval,heuristic,,False,True,False,heuristic
39,"YE Z, 2016, 2016 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)","TANG K, 2009, IEEE TRANS EVOL COMPUT","YE Z, 2016, 2016 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)",YE Z;FENG L;ONG YS;LIU K;CHEN C;SHA E,2016,A PRELIMINARY STUDY ON DISTANCE SELECTION IN PROBABILISTIC MEMETIC FRAMEWORK FOR CAPACITATED ARC ROUTING PROBLEM,2016 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC),176,1,egl,egl,EA,,False,False,True,EA
40,"BENSEDIRA B, 2016, PROCEEDINGS OF 2016 8TH INTERNATIONAL CONFERENCE ON MODELLING, IDENTIFICATION \& CONTROL (ICMIC 2016)","BARTOLINI E, 2013, MATH PROGRAM;BEULLENS P, 2003, EUR J OPER RES;LACOMME P, 2004, ANN OPER RES;LONGO H, 2006, COMPUT OPER RES","BENSEDIRA B, 2016, PROCEEDINGS OF 2016 8TH INTERNATIONAL CONFERENCE ON MODELLING, IDENTIFICATION \& CONTROL (ICMIC 2016)",BENSEDIRA B;LAYEB A;BOUZOUBIA S;HABBAS Z,2016,CRO-CARP: A CHEMICAL REACTION OPTIMIZATION FOR CAPACITATED ARC ROUTING PROBLEM,"PROCEEDINGS OF 2016 8TH INTERNATIONAL CONFERENCE ON MODELLING, IDENTIFICATION \& CONTROL (ICMIC 2016)",21,1,val,val,new-meta,,False,True,False,heuristic
